Title,Installs,Score,Ratings,Reviews,Size,AndroidVersion,Developer,ContentRating,ContainAds,Released,Version,Updated1
BYJU'S – The Learning App,100000000,4.12,1745108,947,167M,5,BYJU'S,Everyone,FALSE,"Jul 6, 2015",10.1.1.13300,"May 4, 2022"
Duolingo: language lessons,100000000,4.57,12512116,592133,Varies with device,Varies,Duolingo,Everyone,TRUE,"May 29, 2013",Varies with device,"May 9, 2022"
"IIT JEE, NEET, NCERT Solutions",50000000,4.22,574552,307,22M,5,Doubtnut: Doubt Solving & Video Solutions App,Everyone,FALSE,"Oct 14, 2016",7.9.67,"May 9, 2022"
Unacademy Learner App,50000000,3.36,951700,452,Varies with device,Varies,Unacademy,Everyone,FALSE,"Feb 15, 2017",Varies with device,"May 6, 2022"
Noon Academy – Student Learning App,10000000,4.25,103191,459,52M,5,Noon Academy,Everyone,FALSE,"Mar 12, 2017",4.6.32,"May 10, 2022"
Cambly - English Teacher,10000000,4.17,126401,1352,99M,5,Cambly,Everyone,FALSE,"Feb 17, 2014",5.1.2,"Apr 27, 2022"
Edmodo,10000000,3.95,459326,15292,Varies with device,5,"Edmodo, Inc",Everyone,TRUE,"Nov 2, 2010",10.48.0,"Mar 17, 2022"
Quizlet: Languages & Vocab,10000000,4.67,466157,49990,Varies with device,Varies,Quizlet Inc.,Everyone,TRUE,"Aug 20, 2013",Varies with device,"May 10, 2022"
Udemy - Online Courses,10000000,4.35,357547,13123,32M,6,Udemy,Everyone,FALSE,"Jan 14, 2014",7.27.1,"May 5, 2022"
Teachmint - The Classroom App,10000000,3.97,134739,25,44M,5,Teachmint Technologies,Everyone,FALSE,"Jun 13, 2020",5.18.0,"May 11, 2022"
Memrise Easy Language Learning,10000000,4.58,1452079,65279,26M,7,Memrise,Everyone,TRUE,"May 20, 2013",2022.4.5.0,"Apr 7, 2022"
Sololearn: Learn to Code,10000000,4.52,554749,19226,36M,5,Sololearn,Teen,TRUE,"Oct 25, 2016",4.18.2,"Apr 30, 2022"
Epic: Kids' Books & Reading,5000000,4.39,82461,24061,203M,7,Epic! Creations Inc,Everyone,FALSE,"May 21, 2015",3.55.3,"May 9, 2022"
LinkedIn Learning: Online Courses to Learn Skills,5000000,4.77,76453,1685,40M,5,LinkedIn,Everyone,FALSE,"Sep 22, 2016",0.230.4,"May 8, 2022"
"Cuemath: Math Games, Online Classes & Learning App",1000000,4.1,35681,316,60M,5,Cuemath,Everyone,FALSE,"Oct 11, 2019",2.9.0,"Mar 16, 2022"
Computer Course,1000000,4.23,5631,24,3.6M,4.1,InnovApp21,Everyone,TRUE,"Jan 30, 2015",75,"Jan 4, 2021"
Think and Learn | Parent Connect,1000000,3.46,8323,5,22M,4.1,BYJU'S,Everyone,FALSE,"May 21, 2017",3.4.0,"Oct 16, 2020"
Great Learning- Online Courses,1000000,4.16,18492,51,56M,5,Great Learning,Everyone,FALSE,"Apr 22, 2015",4.6.29,"Apr 16, 2022"
uLesson Educational App,1000000,4.34,12023,63,70M,5,uLesson Education,Everyone,FALSE,"Mar 1, 2020",1.10.10,"May 4, 2022"
Pluralsight – The Technology Skills Platform,1000000,4.52,17874,1918,Varies with device,Varies,Pluralsight,Everyone,FALSE,"Apr 17, 2011",Varies with device,"May 2, 2022"
upGrad - Online Learning Courses,1000000,4.35,20206,16,136M,6,upGrad,Everyone,FALSE,"May 4, 2016",5.4.4,"May 10, 2022"
Skillshare - Creative Classes,1000000,4.32,51403,4298,30M,5,"Skillshare, Inc",Everyone,FALSE,"May 18, 2015",5.4.7,"May 3, 2022"
Cursa - Online courses,1000000,4.65,42862,258,34M,5,MedTech Cursos livres e ensino online LTDA,Everyone,TRUE,"Feb 13, 2017",2.6.7,"Apr 16, 2022"
